k,n,degrees_list,hodge_numbers
2,4,{1},{0, 0, 0}
2,4,{2},{0, 2, 0}
2,4,{3},{0, 20, 0}
2,4,{4},{1, 89, 1}
2,4,{5},{6, 266, 6}
2,4,{6},{20, 630, 20}
2,4,{7},{50, 1282, 50}
2,4,{8},{105, 2345, 105}
2,4,{9},{196, 3964, 196}
2,4,{10},{336, 6306, 336}
2,4,{1, 1},{0, 1, 0}
2,4,{2, 1},{0, 5, 0}
2,4,{2, 2},{1, 19, 1}
2,4,{3, 1},{1, 19, 1}
2,4,{3, 2},{6, 57, 6}
2,4,{3, 3},{20, 137, 20}
2,4,{4, 1},{5, 51, 5}
2,4,{4, 2},{19, 135, 19}
2,4,{4, 3},{49, 283, 49}
2,4,{4, 4},{103, 527, 103}
2,4,{5, 1},{14, 109, 14}
2,4,{5, 2},{44, 269, 44}
2,4,{5, 3},{99, 519, 99}
2,4,{5, 4},{189, 899, 189}
2,4,{5, 5},{324, 1449, 324}
2,4,{6, 1},{30, 201, 30}
2,4,{6, 2},{85, 475, 85}
2,4,{6, 3},{176, 869, 176}
2,4,{6, 4},{315, 1431, 315}
2,4,{6, 5},{514, 2209, 514}
2,4,{6, 6},{785, 3251, 785}
2,4,{7, 1},{55, 335, 55}
2,4,{7, 2},{146, 769, 146}
2,4,{7, 3},{286, 1357, 286}
2,4,{7, 4},{489, 2155, 489}
2,4,{7, 5},{769, 3219, 769}
2,4,{7, 6},{1140, 4605, 1140}
2,4,{7, 7},{1616, 6369, 1616}
2,4,{8, 1},{91, 519, 91}
2,4,{8, 2},{231, 1167, 231}
2,4,{8, 3},{435, 2007, 435}
2,4,{8, 4},{719, 3103, 719}
2,4,{8, 5},{1099, 4519, 1099}
2,4,{8, 6},{1591, 6319, 1591}
2,4,{8, 7},{2211, 8567, 2211}
2,4,{8, 8},{2975, 11327, 2975}
2,4,{9, 1},{140, 761, 140}
2,4,{9, 2},{344, 1685, 344}
2,4,{9, 3},{629, 2843, 629}
2,4,{9, 4},{1013, 4307, 1013}
2,4,{9, 5},{1514, 6149, 1514}
2,4,{9, 6},{2150, 8441, 2150}
2,4,{9, 7},{2939, 11255, 2939}
2,4,{9, 8},{3899, 14663, 3899}
2,4,{9, 9},{5048, 18737, 5048}
2,4,{10, 1},{204, 1069, 204}
2,4,{10, 2},{489, 2339, 489}
2,4,{10, 3},{874, 3889, 874}
2,4,{10, 4},{1379, 5799, 1379}
2,4,{10, 5},{2024, 8149, 2024}
2,4,{10, 6},{2829, 11019, 2829}
2,4,{10, 7},{3814, 14489, 3814}
2,4,{10, 8},{4999, 18639, 4999}
2,4,{10, 9},{6404, 23549, 6404}
2,4,{10, 10},{8049, 29299, 8049}
2,4,{1, 1, 1},{0}
2,4,{2, 1, 1},{1}
2,4,{2, 2, 1},{5}
2,4,{2, 2, 2},{17}
2,4,{3, 1, 1},{4}
2,4,{3, 2, 1},{13}
2,4,{3, 2, 2},{37}
2,4,{3, 3, 1},{28}
2,4,{3, 3, 2},{73}
2,4,{3, 3, 3},{136}
2,4,{4, 1, 1},{9}
2,4,{4, 2, 1},{25}
2,4,{4, 2, 2},{65}
2,4,{4, 3, 1},{49}
2,4,{4, 3, 2},{121}
2,4,{4, 3, 3},{217}
2,4,{4, 4, 1},{81}
2,4,{4, 4, 2},{193}
2,4,{4, 4, 3},{337}
2,4,{4, 4, 4},{513}
2,4,{5, 1, 1},{16}
2,4,{5, 2, 1},{41}
2,4,{5, 2, 2},{101}
2,4,{5, 3, 1},{76}
2,4,{5, 3, 2},{181}
2,4,{5, 3, 3},{316}
2,4,{5, 4, 1},{121}
2,4,{5, 4, 2},{281}
2,4,{5, 4, 3},{481}
2,4,{5, 4, 4},{721}
2,4,{5, 5, 1},{176}
2,4,{5, 5, 2},{401}
2,4,{5, 5, 3},{676}
2,4,{5, 5, 4},{1001}
2,4,{5, 5, 5},{1376}
2,4,{6, 1, 1},{25}
2,4,{6, 2, 1},{61}
2,4,{6, 2, 2},{145}
2,4,{6, 3, 1},{109}
2,4,{6, 3, 2},{253}
2,4,{6, 3, 3},{433}
2,4,{6, 4, 1},{169}
2,4,{6, 4, 2},{385}
2,4,{6, 4, 3},{649}
2,4,{6, 4, 4},{961}
2,4,{6, 5, 1},{241}
2,4,{6, 5, 2},{541}
2,4,{6, 5, 3},{901}
2,4,{6, 5, 4},{1321}
2,4,{6, 5, 5},{1801}
2,4,{6, 6, 1},{325}
2,4,{6, 6, 2},{721}
2,4,{6, 6, 3},{1189}
2,4,{6, 6, 4},{1729}
2,4,{6, 6, 5},{2341}
2,4,{6, 6, 6},{3025}
2,4,{7, 1, 1},{36}
2,4,{7, 2, 1},{85}
2,4,{7, 2, 2},{197}
2,4,{7, 3, 1},{148}
2,4,{7, 3, 2},{337}
2,4,{7, 3, 3},{568}
2,4,{7, 4, 1},{225}
2,4,{7, 4, 2},{505}
2,4,{7, 4, 3},{841}
2,4,{7, 4, 4},{1233}
2,4,{7, 5, 1},{316}
2,4,{7, 5, 2},{701}
2,4,{7, 5, 3},{1156}
2,4,{7, 5, 4},{1681}
2,4,{7, 5, 5},{2276}
2,4,{7, 6, 1},{421}
2,4,{7, 6, 2},{925}
2,4,{7, 6, 3},{1513}
2,4,{7, 6, 4},{2185}
2,4,{7, 6, 5},{2941}
2,4,{7, 6, 6},{3781}
2,4,{7, 7, 1},{540}
2,4,{7, 7, 2},{1177}
2,4,{7, 7, 3},{1912}
2,4,{7, 7, 4},{2745}
2,4,{7, 7, 5},{3676}
2,4,{7, 7, 6},{4705}
2,4,{7, 7, 7},{5832}
2,4,{8, 1, 1},{49}
2,4,{8, 2, 1},{113}
2,4,{8, 2, 2},{257}
2,4,{8, 3, 1},{193}
2,4,{8, 3, 2},{433}
2,4,{8, 3, 3},{721}
2,4,{8, 4, 1},{289}
2,4,{8, 4, 2},{641}
2,4,{8, 4, 3},{1057}
2,4,{8, 4, 4},{1537}
2,4,{8, 5, 1},{401}
2,4,{8, 5, 2},{881}
2,4,{8, 5, 3},{1441}
2,4,{8, 5, 4},{2081}
2,4,{8, 5, 5},{2801}
2,4,{8, 6, 1},{529}
2,4,{8, 6, 2},{1153}
2,4,{8, 6, 3},{1873}
2,4,{8, 6, 4},{2689}
2,4,{8, 6, 5},{3601}
2,4,{8, 6, 6},{4609}
2,4,{8, 7, 1},{673}
2,4,{8, 7, 2},{1457}
2,4,{8, 7, 3},{2353}
2,4,{8, 7, 4},{3361}
2,4,{8, 7, 5},{4481}
2,4,{8, 7, 6},{5713}
2,4,{8, 7, 7},{7057}
2,4,{8, 8, 1},{833}
2,4,{8, 8, 2},{1793}
2,4,{8, 8, 3},{2881}
2,4,{8, 8, 4},{4097}
2,4,{8, 8, 5},{5441}
2,4,{8, 8, 6},{6913}
2,4,{8, 8, 7},{8513}
2,4,{8, 8, 8},{10241}
2,4,{9, 1, 1},{64}
2,4,{9, 2, 1},{145}
2,4,{9, 2, 2},{325}
2,4,{9, 3, 1},{244}
2,4,{9, 3, 2},{541}
2,4,{9, 3, 3},{892}
2,4,{9, 4, 1},{361}
2,4,{9, 4, 2},{793}
2,4,{9, 4, 3},{1297}
2,4,{9, 4, 4},{1873}
2,4,{9, 5, 1},{496}
2,4,{9, 5, 2},{1081}
2,4,{9, 5, 3},{1756}
2,4,{9, 5, 4},{2521}
2,4,{9, 5, 5},{3376}
2,4,{9, 6, 1},{649}
2,4,{9, 6, 2},{1405}
2,4,{9, 6, 3},{2269}
2,4,{9, 6, 4},{3241}
2,4,{9, 6, 5},{4321}
2,4,{9, 6, 6},{5509}
2,4,{9, 7, 1},{820}
2,4,{9, 7, 2},{1765}
2,4,{9, 7, 3},{2836}
2,4,{9, 7, 4},{4033}
2,4,{9, 7, 5},{5356}
2,4,{9, 7, 6},{6805}
2,4,{9, 7, 7},{8380}
2,4,{9, 8, 1},{1009}
2,4,{9, 8, 2},{2161}
2,4,{9, 8, 3},{3457}
2,4,{9, 8, 4},{4897}
2,4,{9, 8, 5},{6481}
2,4,{9, 8, 6},{8209}
2,4,{9, 8, 7},{10081}
2,4,{9, 8, 8},{12097}
2,4,{9, 9, 1},{1216}
2,4,{9, 9, 2},{2593}
2,4,{9, 9, 3},{4132}
2,4,{9, 9, 4},{5833}
2,4,{9, 9, 5},{7696}
2,4,{9, 9, 6},{9721}
2,4,{9, 9, 7},{11908}
2,4,{9, 9, 8},{14257}
2,4,{9, 9, 9},{16768}
2,4,{10, 1, 1},{81}
2,4,{10, 2, 1},{181}
2,4,{10, 2, 2},{401}
2,4,{10, 3, 1},{301}
2,4,{10, 3, 2},{661}
2,4,{10, 3, 3},{1081}
2,4,{10, 4, 1},{441}
2,4,{10, 4, 2},{961}
2,4,{10, 4, 3},{1561}
2,4,{10, 4, 4},{2241}
2,4,{10, 5, 1},{601}
2,4,{10, 5, 2},{1301}
2,4,{10, 5, 3},{2101}
2,4,{10, 5, 4},{3001}
2,4,{10, 5, 5},{4001}
2,4,{10, 6, 1},{781}
2,4,{10, 6, 2},{1681}
2,4,{10, 6, 3},{2701}
2,4,{10, 6, 4},{3841}
2,4,{10, 6, 5},{5101}
2,4,{10, 6, 6},{6481}
2,4,{10, 7, 1},{981}
2,4,{10, 7, 2},{2101}
2,4,{10, 7, 3},{3361}
2,4,{10, 7, 4},{4761}
2,4,{10, 7, 5},{6301}
2,4,{10, 7, 6},{7981}
2,4,{10, 7, 7},{9801}
2,4,{10, 8, 1},{1201}
2,4,{10, 8, 2},{2561}
2,4,{10, 8, 3},{4081}
2,4,{10, 8, 4},{5761}
2,4,{10, 8, 5},{7601}
2,4,{10, 8, 6},{9601}
2,4,{10, 8, 7},{11761}
2,4,{10, 8, 8},{14081}
2,4,{10, 9, 1},{1441}
2,4,{10, 9, 2},{3061}
2,4,{10, 9, 3},{4861}
2,4,{10, 9, 4},{6841}
2,4,{10, 9, 5},{9001}
2,4,{10, 9, 6},{11341}
2,4,{10, 9, 7},{13861}
2,4,{10, 9, 8},{16561}
2,4,{10, 9, 9},{19441}
2,4,{10, 10, 1},{1701}
2,4,{10, 10, 2},{3601}
2,4,{10, 10, 3},{5701}
2,4,{10, 10, 4},{8001}
2,4,{10, 10, 5},{10501}
2,4,{10, 10, 6},{13201}
2,4,{10, 10, 7},{16101}
2,4,{10, 10, 8},{19201}
2,4,{10, 10, 9},{22501}
2,4,{10, 10, 10},{26001}
2,5,{1},{0, 0, 0, 0, 0}
2,5,{2},{0, 0, 10, 0, 0}
2,5,{3},{0, 10, 300, 10, 0}
2,5,{4},{0, 175, 2585, 175, 0}
2,5,{5},{1, 1151, 12652, 1151, 1}
2,5,{6},{10, 4765, 44495, 4765, 10}
2,5,{7},{50, 14960, 125960, 14960, 50}
2,5,{8},{175, 39025, 305900, 39025, 175}
2,5,{9},{490, 89110, 662840, 89110, 490}
2,5,{10},{1176, 184026, 1315152, 184026, 1176}
2,5,{1, 1},{0, 0, 0, 0, 0}
2,5,{2, 1},{0, 1, 20, 1, 0}
2,5,{2, 2},{0, 20, 130, 20, 0}
2,5,{3, 1},{0, 41, 230, 41, 0}
2,5,{3, 2},{1, 189, 802, 189, 1}
2,5,{3, 3},{10, 765, 2710, 765, 10}
2,5,{4, 1},{1, 299, 1242, 299, 1}
2,5,{4, 2},{10, 981, 3500, 981, 10}
2,5,{4, 3},{50, 2691, 8600, 2691, 50}
2,5,{4, 4},{175, 6995, 20790, 6995, 175}
