k,n,degrees_list,hodge_numbers
2,4,{1},{0, 0, 0}
2,4,{2},{0, 2, 0}
2,4,{3},{0, 20, 0}
2,4,{1, 1},{0, 1, 0}
2,4,{2, 1},{0, 5, 0}
2,4,{2, 2},{1, 19, 1}
2,4,{3, 1},{1, 19, 1}
2,4,{3, 2},{6, 57, 6}
2,4,{3, 3},{20, 137, 20}
2,4,{1, 1, 1},{0}
2,4,{2, 1, 1},{1}
2,4,{2, 2, 1},{5}
2,4,{2, 2, 2},{17}
2,4,{3, 1, 1},{4}
2,4,{3, 2, 1},{13}
2,4,{3, 2, 2},{37}
2,4,{3, 3, 1},{28}
2,4,{3, 3, 2},{73}
2,4,{3, 3, 3},{136}
2,5,{1},{0, 0, 0, 0, 0, 0}
2,5,{2},{0, 0, 10, 10, 0, 0}
2,5,{3},{0, 10, 300, 300, 10, 0}
2,5,{1, 1},{0, 0, 0, 0, 0, 0}
2,5,{2, 1},{0, 1, 20, 20, 1, 0}
2,5,{2, 2},{0, 20, 130, 130, 20, 0}
2,5,{3, 1},{0, 41, 230, 230, 41, 0}
2,5,{3, 2},{1, 189, 802, 802, 189, 1}
2,5,{3, 3},{10, 765, 2710, 2710, 765, 10}
2,5,{1, 1, 1},{0, 0, 0, 0}
2,5,{2, 1, 1},{0, 10, 10, 0}
2,5,{2, 2, 1},{1, 61, 61, 1}
2,5,{2, 2, 2},{10, 260, 260, 10}
2,5,{3, 1, 1},{1, 76, 76, 1}
2,5,{3, 2, 1},{9, 269, 269, 9}
2,5,{3, 2, 2},{48, 878, 878, 48}
2,5,{3, 3, 1},{40, 790, 790, 40}
2,5,{3, 3, 2},{163, 2323, 2323, 163}
2,5,{3, 3, 3},{460, 5455, 5455, 460}
